Date,Hour,Min,Load
18-01-2018,16,30,2946.340
18-01-2018,17,0,3021.220
18-01-2018,17,30,3128.530
18-01-2018,18,0,3297.640
18-01-2018,18,30,3426.370
18-01-2018,19,0,3420.700
18-01-2018,19,30,3365.590
18-01-2018,20,0,3267.510
18-01-2018,20,30,3121.420
18-01-2018,21,0,2915.770
18-01-2018,21,30,2772.300
18-01-2018,22,0,2650.670
18-01-2018,22,30,2482.850
18-01-2018,23,0,2264.120
18-01-2018,23,30,2155.990
19-01-2018,0,0,2083.620
19-01-2018,0,30,2038.410
19-01-2018,1,0,2004.460
19-01-2018,1,30,1986.880
19-01-2018,2,0,1984.200
19-01-2018,2,30,1976.510
19-01-2018,3,0,1961.040
19-01-2018,3,30,1957.900
